XC,YC,theta,idx,thres_rho
13,10,0.268025148812559,0,0
13,11,0.19523568460456,0,0
13,12,0.116083460208531,0,0
13,13,0.121733277850033,0,0
13,14,0.38289034179447,0,0
13,15,0.696435696230973,3,1
13,16,0.928422783235167,3,1
13,17,0.972176048186222,3,1
13,18,0.951933721388087,3,1
13,19,0.889408293654115,3,1
13,20,0.565902576864079,0,0
14,1,-0.499214610319453,0,0
14,2,-0.76179607265832,0,0
14,3,-0.81155662520779,0,0
14,4,-0.884859303155524,1,1
14,5,-0.942635717772062,1,1
14,6,-0.938718172640714,1,1
14,7,-0.825015342228905,1,1
14,8,-0.490530046752714,0,0
14,9,-0.144946213560094,0,0
14,10,0.163323969158818,0,0
14,11,0.185539503523319,0,0
14,12,0.199374614219053,0,0
14,13,0.313331174311756,0,0
14,14,0.575164231225538,0,0
14,15,0.838123526601952,3,1
14,16,0.950195423644297,3,1
14,17,0.971933290466253,3,1
14,18,0.939017361351144,3,1
14,19,0.873870951698243,0,0
14,20,0.55395707507722,0,0
15,1,-0.48938236380898,0,0
15,2,-0.733251147030165,0,0
15,3,-0.771937575404451,0,0
15,4,-0.846235652889766,1,1
15,5,-0.924633024749478,1,1
15,6,-0.949472043604821,1,1
15,7,-0.886817137304093,1,1
15,8,-0.623312253895303,0,0
15,9,-0.294692920931282,0,0
15,10,0.0724119855367911,0,0
15,11,0.237562552606276,0,0
15,12,0.358075266553779,0,0
15,13,0.491572064361852,0,0
15,14,0.695368476054078,0,0
15,15,0.883622585751417,3,1
15,16,0.963107795133664,3,1
15,17,0.966982592185283,3,1
15,18,0.922803500749938,3,1
15,19,0.860474593719874,0,0
15,20,0.546414089578652,0,0
16,1,-0.467509491924951,0,0
16,2,-0.691790647773885,0,0
16,3,-0.720534106930939,0,0
16,4,-0.798001368873391,0,0
16,5,-0.895662661003862,1,1
16,6,-0.948474950821901,1,1
16,7,-0.924244357435359,1,1
16,8,-0.755142654324153,1,1
16,9,-0.426926421123076,0,0
16,10,-0.0240789975466233,0,0
16,11,0.239071443618429,0,0
16,12,0.403147327007659,0,0
16,13,0.555717233091536,0,0
16,14,0.762867742177566,0,0
16,15,0.915872971763825,3,1
16,16,0.968944990197792,3,1
16,17,0.955536803697049,3,1
16,18,0.898440776745593,3,1
16,19,0.839649983615714,0,0
16,20,0.535597964733573,0,0
17,1,-0.430109845743906,0,0
17,2,-0.634997522391749,0,0
17,3,-0.658172119830605,0,0
17,4,-0.741327977037048,0,0
17,5,-0.855851959154344,1,1
17,6,-0.936795439336323,1,1
17,7,-0.944326069499655,1,1
17,8,-0.835994206032405,1,1
17,9,-0.546228303743635,0,0
17,10,-0.12801507866761,0,0
17,11,0.121475896016955,0,0
17,12,0.365833684113304,0,0
17,13,0.540777175852783,0,0
17,14,0.824171470851324,3,1
17,15,0.938845121210411,3,1
17,16,0.969640078157737,3,1
17,17,0.936618230847254,3,1
17,18,0.861133718242707,0,0
17,19,0.799883068345535,0,0
17,20,0.511099441270801,0,0
18,1,-0.379358416051625,0,0
18,2,-0.564811443377963,0,0
18,3,-0.588727938895594,0,0
18,4,-0.678308903924075,0,0
18,5,-0.807110549702614,1,1
18,6,-0.914949755552874,1,1
18,7,-0.950545196054469,1,1
18,8,-0.69771490721869,1,1
18,9,-0.471532843711839,1,1
18,10,-0.112056656070659,0,0
18,11,-0.0999906661166819,0,0
18,12,0.0609679978400803,0,0
18,13,0.318347585854567,0,0
18,14,0.692015849537823,3,1
18,15,0.954179576724802,3,1
18,16,0.966167826517864,3,1
18,17,0.911713544371341,3,1
18,18,0.815808527941033,0,0
18,19,0.746038560198617,0,0
18,20,0.476182972977005,0,0
19,1,-0.323830142828832,0,0
19,2,-0.488617277376515,0,0
19,3,-0.517151094848153,0,0
19,4,-0.610885843433666,0,0
19,5,-0.751687388159105,0,0
19,6,-0.882997708764329,1,1
19,7,-0.94630565957834,1,1
19,8,-0.52664000484659,1,1
19,9,-0.237180854676727,2,1
19,10,0.13444282753671,0,0
19,11,-0.00750451306143395,0,0
19,12,-0.0794645966025341,0,0
19,13,0.179566472691897,0,0
19,14,0.533046106984403,3,1
19,15,0.962724271210721,3,1
19,16,0.959079999457589,3,1
19,17,0.884583942810701,3,1
19,18,0.773498195116472,0,0
19,19,0.695209950234133,0,0
19,20,0.444096737728032,0,0
20,1,-0.266149261899235,0,0
20,2,-0.40748381429182,0,0
20,3,-0.442611153427703,0,0
20,4,-0.539003518024345,0,0
20,5,-0.690721029160517,0,0
20,6,-0.842184332749355,1,1
20,7,-0.933232741746882,1,1
20,8,-0.544995929172765,1,1
20,9,-0.298400483734629,2,1
20,10,0.0816010652975887,2,1
20,11,0.0474242914148087,0,0
20,12,-0.164015112454623,0,0
20,13,0.0934540176428618,2,1
20,14,0.35873407910677,2,1
20,15,0.966353655355198,3,1
20,16,0.950525831180765,3,1
20,17,0.861613736829499,3,1
20,18,0.744661424548529,0,0
20,19,0.663262767366213,0,0
20,20,0.425886825090992,0,0
21,1,-0.207332594517248,0,0
21,2,-0.322640344020076,0,0
21,3,-0.364195956578039,0,0
21,4,-0.464455749439687,0,0
21,5,-0.627619819641711,0,0
21,6,-0.798454806890179,0,0
21,7,-0.9157764673575,1,1
21,8,-0.744701116978277,1,1
21,9,-0.525586385552317,1,1
21,10,-0.0579017641570442,2,1
21,11,0.0815131036607314,0,0
21,12,0.0851733527859976,2,1
21,13,0.258991052353993,2,1
21,14,0.553861968645827,3,1
21,15,0.96854354476064,3,1
21,16,0.943862639376023,3,1
21,17,0.849210567630383,0,0
21,18,0.733258522463311,0,0
21,19,0.653066467344413,0,0
21,20,0.420829224306073,0,0
22,1,-0.1509121797621,0,0
22,2,-0.23922195572751,0,0
22,3,-0.284467654625026,0,0
22,4,-0.390091767917015,0,0
22,5,-0.565981035281637,0,0
22,6,-0.757268304362105,0,0
22,7,-0.898268708183323,1,1
22,8,-0.951520103164774,1,1
22,9,-0.921533915559073,1,1
